university_name,country,state,program,rank_tier,tuition_usd,living_cost_usd,cost_of_attendance_usd,min_cgpa,min_ielts,min_gre,accepts_without_gre,research_level,ms_cs,research_category,intake,deadline,data_note
University of Houston,USA,Texas,Business,3,31500,17000,48500,3.3,6.5,312,Often,4,Yes,Business and Management,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Texas at San Antonio,USA,Texas,Economics,4,25600,17000,42600,3.0,6.5,305,Often,3,Yes,Economics and Policy,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Southern Methodist University,USA,Texas,Arts,3,34500,17000,51500,3.3,6.5,312,Often,4,Yes,Arts and Humanities,"Fall, Spring, Summer",January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Baylor University,USA,Texas,Engineering,3,36000,17000,53000,3.3,6.5,312,Often,4,Yes,Engineering and Technology,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
San Diego State University,USA,California,Physics,4,29200,24000,53200,3.0,6.5,305,Often,3,Yes,Physical Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
San Jose State University,USA,California,Chemistry,4,30400,24000,54400,3.0,6.5,305,Often,3,Yes,Chemical Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"California Polytechnic State University, San Luis Obispo",USA,California,Mathematics,3,40500,24000,64500,3.3,6.5,312,Often,4,Yes,Mathematical Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Santa Clara University,USA,California,Environmental Science,3,30000,24000,54000,3.3,6.5,312,Often,4,Yes,Environmental and Earth Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Loyola University Chicago,USA,Illinois,Psychology,4,23200,20000,43200,3.0,6.5,305,Often,3,Yes,Behavioral Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
DePaul University,USA,Illinois,Political Science,4,24400,20000,44400,3.0,6.5,305,Often,3,Yes,Social Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Illinois Institute of Technology,USA,Illinois,Sociology,3,34500,20000,54500,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Marquette University,USA,Wisconsin,Education,4,26800,17000,43800,3.0,6.5,305,Often,3,Yes,Education Research,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Wisconsin-Milwaukee,USA,Wisconsin,Public Health,4,28000,17000,45000,3.0,6.5,305,Often,3,Yes,Health Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Wayne State University,USA,Michigan,Computer Science,4,29200,17000,46200,3.0,6.5,305,Often,3,Yes,Computing and Information Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Western Michigan University,USA,Michigan,Biology,4,30400,17000,47400,3.0,6.5,305,Often,3,Yes,Life Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Oakland University,USA,Michigan,Business,4,31600,17000,48600,3.0,6.5,305,Often,3,Yes,Business and Management,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Hawaii at Manoa,USA,Hawaii,Economics,3,31500,24000,55500,3.3,6.5,312,Often,4,Yes,Economics and Policy,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Alaska Fairbanks,USA,Alaska,Arts,4,23200,17000,40200,3.0,6.5,305,Often,3,Yes,Arts and Humanities,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Maine,USA,Maine,Engineering,4,24400,17000,41400,3.0,6.5,305,Often,3,Yes,Engineering and Technology,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of New Hampshire,USA,New Hampshire,Physics,3,36000,17000,53000,3.3,6.5,312,Often,4,Yes,Physical Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Vermont,USA,Vermont,Chemistry,4,26800,17000,43800,3.0,6.5,305,Often,3,Yes,Chemical Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Rhode Island,USA,Rhode Island,Mathematics,4,28000,17000,45000,3.0,6.5,305,Often,3,Yes,Mathematical Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Portland State University,USA,Oregon,Environmental Science,4,29200,20000,49200,3.0,6.5,305,Often,3,Yes,Environmental and Earth Sciences,"Fall, Spring, Summer",Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Portland,USA,Oregon,Psychology,4,30400,20000,50400,3.0,6.5,305,Often,3,Yes,Behavioral Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Gonzaga University,USA,Washington,Political Science,4,31600,24000,55600,3.0,6.5,305,Often,3,Yes,Social Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Seattle University,USA,Washington,Sociology,4,22000,24000,46000,3.0,6.5,305,Often,3,Yes,Social Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Southern Mississippi,USA,Mississippi,Education,4,23200,17000,40200,3.0,6.5,305,Often,3,Yes,Education Research,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
West Virginia University,USA,West Virginia,Public Health,3,36000,17000,53000,3.3,6.5,312,Often,4,Yes,Health Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Marshall University,USA,West Virginia,Computer Science,4,25600,17000,42600,3.0,6.5,305,Often,3,Yes,Computing and Information Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
College of William & Mary,USA,Virginia,Biology,3,39000,20000,59000,3.3,6.5,312,Often,4,Yes,Life Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Richmond,USA,Virginia,Business,4,28000,20000,48000,3.0,6.5,305,Often,3,Yes,Business and Management,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Akron,USA,Ohio,Economics,4,29200,17000,46200,3.0,6.5,305,Often,3,Yes,Economics and Policy,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Dayton,USA,Ohio,Arts,4,30400,17000,47400,3.0,6.5,305,Often,3,Yes,Arts and Humanities,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Creighton University,USA,Nebraska,Engineering,4,31600,17000,48600,3.0,6.5,305,Often,3,Yes,Engineering and Technology,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Emory University,USA,Georgia,Physics,3,34500,17000,51500,3.3,6.5,312,Often,4,Yes,Physical Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Mercer University,USA,Georgia,Chemistry,4,23200,17000,40200,3.0,6.5,305,Often,3,Yes,Chemical Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Nova Southeastern University,USA,Florida,Mathematics,4,24400,20000,44400,3.0,6.5,305,Often,3,Yes,Mathematical Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Brandeis University,USA,Massachusetts,Environmental Science,3,39000,24000,63000,3.3,6.5,312,Often,4,Yes,Environmental and Earth Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Dartmouth College,USA,New Hampshire,Psychology,2,40000,17000,57000,3.6,7.0,318,Often,5,Yes,Behavioral Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Fordham University,USA,New York,Political Science,4,28000,24000,52000,3.0,6.5,305,Often,3,Yes,Social Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Hofstra University,USA,New York,Sociology,4,29200,24000,53200,3.0,6.5,305,Often,3,Yes,Social Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Pace University,USA,New York,Education,4,30400,24000,54400,3.0,6.5,305,Often,3,Yes,Education Research,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Adelphi University,USA,New York,Public Health,4,31600,24000,55600,3.0,6.5,305,Often,3,Yes,Health Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Yeshiva University,USA,New York,Computer Science,4,22000,24000,46000,3.0,6.5,305,Often,3,Yes,Computing and Information Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Villanova University,USA,Pennsylvania,Biology,4,23200,20000,43200,3.0,6.5,305,Often,3,Yes,Life Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Seton Hall University,USA,New Jersey,Business,4,24400,24000,48400,3.0,6.5,305,Often,3,Yes,Business and Management,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Hartford,USA,Connecticut,Economics,4,25600,20000,45600,3.0,6.5,305,Often,3,Yes,Economics and Policy,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Sacred Heart University,USA,Connecticut,Arts,4,26800,20000,46800,3.0,6.5,305,Often,3,Yes,Arts and Humanities,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Quinnipiac University,USA,Connecticut,Engineering,4,28000,20000,48000,3.0,6.5,305,Often,3,Yes,Engineering and Technology,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Massachusetts Boston,USA,Massachusetts,Physics,4,29200,24000,53200,3.0,6.5,305,Often,3,Yes,Physical Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Massachusetts Dartmouth,USA,Massachusetts,Chemistry,4,30400,24000,54400,3.0,6.5,305,Often,3,Yes,Chemical Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Florida Institute of Technology,USA,Florida,Mathematics,4,31600,20000,51600,3.0,6.5,305,Often,3,Yes,Mathematical Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Embry-Riddle Aeronautical University,USA,Florida,Environmental Science,4,22000,20000,42000,3.0,6.5,305,Often,3,Yes,Environmental and Earth Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Denver,USA,Colorado,Psychology,4,23200,20000,43200,3.0,6.5,305,Often,3,Yes,Behavioral Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Colorado School of Mines,USA,Colorado,Political Science,2,43600,20000,63600,3.6,7.0,318,Often,5,Yes,Social Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Colorado Denver,USA,Colorado,Sociology,4,25600,20000,45600,3.0,6.5,305,Often,3,Yes,Social Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Brigham Young University,USA,Utah,Education,3,31500,17000,48500,3.3,6.5,312,Often,4,Yes,Education Research,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Utah State University,USA,Utah,Public Health,4,28000,17000,45000,3.0,6.5,305,Often,3,Yes,Health Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Louisville,USA,Kentucky,Computer Science,4,29200,17000,46200,3.0,6.5,305,Often,3,Yes,Computing and Information Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Northern Illinois University,USA,Illinois,Biology,4,30400,20000,50400,3.0,6.5,305,Often,3,Yes,Life Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Southern Illinois University Carbondale,USA,Illinois,Business,4,31600,20000,51600,3.0,6.5,305,Often,3,Yes,Business and Management,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Illinois Chicago,USA,Illinois,Economics,3,39000,20000,59000,3.3,6.5,312,Often,4,Yes,Economics and Policy,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of Maryland, Baltimore County",USA,Maryland,Arts,3,40500,20000,60500,3.3,6.5,312,Often,4,Yes,Arts and Humanities,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
